ax,ay,az
5828,2104,-17072
10264,3580,-15664
12984,-408,-13936
6992,-5312,-12808
3996,-2460,-15856
3104,216,-17068
8820,3440,-17700
12240,1512,-14272
10420,-2036,-12100
5812,-4184,-13856
2716,-1816,-16208
5928,848,-17040
9428,3752,-16228
12884,56,-14032
7628,-5416,-12172
4516,-3004,-15524
4864,1768,-17692
8512,3424,-17180
10804,1888,-14092
10564,-1764,-13004
6472,-4880,-14004
3924,-648,-17096
5652,2528,-17344
10520,3396,-16472
13064,-476,-13776
7144,-5232,-12220
4696,-2732,-15976
3344,-292,-17392
7552,3372,-17260
11988,2240,-14996
11240,-2012,-12748
5496,-4520,-13396
3532,-2280,-16396
6640,584,-17684
9356,4220,-16528
12196,492,-13876
8032,-5320,-12220
4824,-3476,-15572
4304,1192,-18052
7920,3592,-17076
10888,1956,-14328
10720,-1484,-13400
6244,-4944,-13844
3732,-384,-17004
5316,2396,-17020
10836,3452,-17136
13040,-680,-13780
7548,-5220,-12012
4872,-2600,-16072
3776,-16,-17700
7392,3580,-17144
11892,2656,-15296
11588,-1992,-12848
5796,-4964,-12944
3688,-2048,-16368
6936,660,-18200
9684,4516,-16604
12020,792,-13648
8264,-5316,-12120
4948,-3476,-15292
3760,376,-17612
7788,3676,-17136
11092,2028,-14424
11088,-1452,-12772
6120,-4424,-13676
3732,-476,-17116
5312,2456,-17424
10840,3588,-17464
13072,-644,-13588
7804,-5224,-11716
5080,-2492,-15852
4432,888,-17832
7412,3436,-17200
11172,2552,-15020
11808,-1608,-13072
6136,-5412,-13072
3780,-1760,-16364
6788,892,-18064
9256,4320,-16540
12052,1032,-14012
8372,-4796,-12516
5180,-3720,-15240
3416,-408,-17456
7636,3376,-17412
11224,2432,-14664
11588,-1192,-12792
6148,-4540,-13596
3388,-836,-16900
4784,2384,-17144
10292,3492,-17340
13372,-424,-14132
8240,-4712,-12024
5448,-2408,-15108
4224,504,-17368
7160,2556,-17120
10604,2624,-15300
12152,-1168,-13496
6356,-5308,-13040
3808,-2072,-16836
6304,1068,-17984
8668,4088,-16316
12060,1144,-14240
8816,-4672,-12684
5344,-3684,-15100
3552,-388,-17252
7232,3256,-16952
11300,2796,-15356
12096,-1320,-13164
5940,-5076,-12976
2776,-1376,-15824
4688,1768,-17112
9860,3484,-17624
13096,80,-14412
8532,-4160,-11716
5408,-3072,-15048
3236,264,-16784
7184,1880,-17156
10060,2768,-15112
11864,-416,-13720
6720,-5080,-12992
4068,-2920,-16460
6156,1624,-18264
9292,3964,-16456
11960,1264,-14096
8608,-4164,-12400
5596,-3864,-15320
3848,-264,-17496
6740,3004,-16904
10912,2948,-15288
12428,-984,-13704
7092,-5540,-12760
4272,-2528,-15708
4176,152,-17264
8200,3604,-17376
11960,2120,-14808
10524,-2704,-12276
5736,-4184,-13788
3612,-2004,-16928
6568,656,-17472
9596,4096,-15892
12180,448,-13828
7872,-5328,-12540
4500,-3644,-15656
4240,1028,-17720
8036,3744,-16768
11648,1840,-14404
10544,-2092,-12952
5884,-4492,-13920
3844,-360,-16680
5824,2292,-17124
10512,3256,-17052
13584,-772,-13996
7380,-5648,-11976
4628,-2280,-15932
3568,28,-17140
7252,3364,-16772
12440,2420,-15820
11488,-2492,-12928
5504,-4552,-13060
2596,-1092,-15432
5848,872,-17648
10012,4000,-17504
12936,-216,-13912
7808,-5432,-11596
4844,-2984,-15452
4740,1404,-18144
7640,3436,-17196
11104,2408,-14976
11420,-1796,-13060
6040,-5280,-13740
3252,-24,-16456
5744,2332,-17060
9860,3272,-17084
13224,-552,-14668
7824,-5620,-12256
4868,-2400,-15112
4284,624,-17448
7444,3316,-17252
11388,2424,-15112
11300,-1708,-12928
5844,-5072,-12932
3104,-1468,-16040
5240,1668,-17128
9640,3664,-16940
13292,-124,-14856
7816,-5492,-12116
5020,-3044,-15180
4036,720,-17252
7132,3516,-16872
11720,2708,-16104
11812,-1620,-13880
5748,-5316,-12724
3468,-1884,-15588
5948,1276,-17556
9388,3832,-17156
12580,528,-14580
8040,-5344,-11968
5228,-3416,-14884
